ВОИН_ИД,ЗАКЛИНАНИЕ_НАЗВАНИЕ
35228,Summoning Charm
35228,Expulso Curse
35230,Leg-Locker Curse
35236,Water-Making Spell
35236,Stunning Spell
35239,Snake-Vanishing Spell
35239,Revelio Charm
35239,Patronus Charm
35248,Launch an object up into the air
35249,Human Presence Revealing Spell
35249,Fire-Making Spell
35250,Expulso Curse
35250,Brackium Emendo
35252,Peskipiksi Pesternomi
35253,Mending Charm
35253,Muffliato Charm
35253,Lumos Solem Spell
35254,Oculus Reparo
35254,Portus
35257,Locomotion Charm
35259,Lumos Maxima
35264,Lumos Maxima
35264,Reverse Spell
35266,Peskipiksi Pesternomi
35266,Brackium Emendo
35266,Expulso Curse
35268,Spider repelling spell
35268,Oculus Reparo
35268,Piertotum Locomotor
35269,Protego totalum
35269,Freezing Charm
35279,Snake-Vanishing Spell
35279,Memory Charm
35279,Revelio Charm
35281,Slowing Charm
35281,Stunning Spell
35281,General Counter-Spell
35282,Levitation Charm
35282,Severing Charm
35282,Stunning Spell
35287,Shrinking Charm
35287,Water-Making Spell
35293,Episkey
35293,Fire-Making Spell
35294,Launch an object up into the air
35294,Brackium Emendo
35294,Expulso Curse
35295,Impediment Jinx
35295,Mending Charm
35295,Reverse Spell
35298,Wand-Lighting Charm
35298,Repello Inimicum
35298,Sectumsempra
35299,Launch an object up into the air
35299,Protego totalum
35300,Leg-Locker Curse
35300,Exploding Charm
35303,Human Presence Revealing Spell
35304,Human Presence Revealing Spell
35305,Levitation Charm
35305,Disarming Charm
35305,Sectumsempra
35310,Severing Charm
35312,Brackium Emendo
35313,Killing Curse
35314,Lumos Maxima
35315,Cruciatus Curse
35315,Muggle-Repelling Charm
35315,Snake Summons Spell
35317,Memory Charm
35317,Severing Charm
35319,Oculus Reparo
35323,Blasting Curse
35323,Launch an object up into the air
35329,Spider repelling spell
35330,Levicorpus
35330,Expulso Curse
35333,Lumos Maxima
35333,Cruciatus Curse
35334,Slowing Charm
35334,Sectumsempra
35338,Slowing Charm
35338,Protego Maxima
35340,Killing Curse
35340,Boggart-Banishing Spell
35342,Salvio hexia
35342,Piertotum Locomotor
35342,Human Presence Revealing Spell
35344,Snake Summons Spell
35344,Snake-Vanishing Spell
35346,Sectumsempra
35346,Revelio Charm
35350,General Counter-Spell
35350,Vera Verto
35352,Patronus Charm
35352,Fire-Making Spell
35352,Cruciatus Curse
35353,Wand-Lighting Charm
35354,Expulso Curse
35354,Human Presence Revealing Spell
35354,Lumos Solem Spell
35355,Locking Spell
35355,Imperius Curse
35355,Revelio Charm
35360,Brackium Emendo
35360,Disarming Charm
35360,Stunning Spell
35363,Brackium Emendo
35363,Spider repelling spell
35363,Oppugno Jinx
35371,Portus
35375,Snake-Vanishing Spell
35375,Reverse Spell
35376,Snake-Vanishing Spell
35376,Wand-Lighting Charm
35379,Peskipiksi Pesternomi
35379,Leg-Locker Curse
35387,General Counter-Spell
35387,Wand-Extinguishing Charm
35387,Dissendium
35389,Salvio hexia
35393,Wand-Lighting Charm
35393,Imperius Curse
35393,Water-Making Spell
35395,Dissendium
35395,Launch an object up into the air
35395,General Counter-Spell
35397,Launch an object up into the air
35397,Memory Charm
35397,Full Body-Bind Curse
35399,Human Presence Revealing Spell
35400,Salvio hexia
35401,Launch an object up into the air
35401,Shield Charm
35406,Patronus Charm
35406,Brackium Emendo
35411,Vera Verto
35415,Shield Charm
35415,Repello Inimicum
35415,Oculus Reparo
35417,Water-Making Spell
35417,Oppugno Jinx
35417,Blasting Curse
35418,Levicorpus
35418,Vera Verto
35418,Disarming Charm
35419,Protego Maxima
35419,Oculus Reparo
35422,Summoning Charm
35422,Sectumsempra
35422,Severing Charm
35424,Launch an object up into the air
35424,Impediment Jinx
35429,Expulso Curse
35429,Disarming Charm
35431,Blasting Curse
35434,Piertotum Locomotor
35436,Launch an object up into the air
35436,Brackium Emendo
35437,Oculus Reparo
35437,Mending Charm
35437,Vera Verto
35438,Snake Summons Spell
35438,Muffliato Charm
35438,Dissendium
35441,Lumos Maxima
35441,Boggart-Banishing Spell
35441,Shield Charm
35443,Fire-Making Spell
35445,Locomotion Charm
35445,Full Body-Bind Curse
35447,Spider repelling spell
35447,Disarming Charm
35448,Protego totalum
35448,Shrinking Charm
35448,Boggart-Banishing Spell
35452,Vera Verto
35452,Protego totalum
35454,Launch an object up into the air
35461,Freezing Charm
35462,Oppugno Jinx
35462,Full Body-Bind Curse
35465,Unlocking Charm
35465,Summoning Charm
35465,Cruciatus Curse
35466,Severing Charm
35466,General Counter-Spell
35467,Protego totalum
35467,Full Body-Bind Curse
35469,Cistem Aperio
35469,Dissendium
35472,Wand-Lighting Charm
35474,Fire-Making Spell
35476,General Counter-Spell
35477,Snake Summons Spell
35479,Snake Summons Spell
35479,Oppugno Jinx
35479,Summoning Charm
35481,Impediment Jinx
35481,Dissendium
35482,Lumos Maxima
35482,Shrinking Charm
35482,Spider repelling spell
35487,Wand-Lighting Charm
35489,Fire-Making Spell
35492,Episkey
35492,Muffliato Charm
35492,Fire-Making Spell
35497,Brackium Emendo
35497,Locking Spell
35497,Repello Inimicum
35500,General Counter-Spell
35501,Episkey
35502,Repello Inimicum
35502,Dissendium
35506,Vera Verto
35508,Dissendium
35508,Oppugno Jinx
35510,Brackium Emendo
35510,Snake Summons Spell
35511,Snake Summons Spell
35511,Full Body-Bind Curse
35512,Salvio hexia
35513,Sectumsempra
35513,Repello Inimicum
35513,Memory Charm
35517,Snake-Vanishing Spell
35523,Muffliato Charm
35523,Spider repelling spell
35524,Episkey
35526,Protego totalum
35527,Water-Making Spell
35527,Snake Summons Spell
35529,Engorgement Charm
35529,Episkey
35529,Memory Charm
35531,Incarcerous Spell
35533,Episkey
35535,Leg-Locker Curse
35535,Reverse Spell
35539,Engorgement Charm
35540,Tickling Charm
35544,General Counter-Spell
35544,Shrinking Charm
35545,Leg-Locker Curse
35545,Exploding Charm
35546,Locking Spell
35546,Tickling Charm
35548,Lumos Maxima
35548,Snake-Vanishing Spell
35549,Protego totalum
35549,Protego Maxima
35549,Levitation Charm
35554,Repello Inimicum
35555,Episkey
35556,Fire-Making Spell
35560,Memory Charm
35560,Engorgement Charm
35560,Incarcerous Spell
35563,Patronus Charm
35565,Human Presence Revealing Spell
35567,Muggle-Repelling Charm
35572,Tickling Charm
35572,Water-Making Spell
35572,Boggart-Banishing Spell
35575,Oculus Reparo
35575,Blasting Curse
35577,Muggle-Repelling Charm
35577,Expulso Curse
35579,Lumos Maxima
35579,Boggart-Banishing Spell
35579,Dissendium
35582,Exploding Charm
35591,Muggle-Repelling Charm
35591,Launch an object up into the air
35593,Killing Curse
35597,Lumos Maxima
35597,Tickling Charm
35600,Portus
35600,Disarming Charm
35600,Reverse Spell
35601,Killing Curse
35601,Reverse Spell
35601,Oculus Reparo
35603,Locking Spell
35603,Memory Charm
35606,Revulsion Jinx
35606,Boggart-Banishing Spell
35606,Expulso Curse
35608,Shield Charm
35610,Imperius Curse
35610,Cruciatus Curse
35610,Leg-Locker Curse
35611,Wand-Extinguishing Charm
35611,Mending Charm
35611,Protego Maxima
35615,Muffliato Charm
35620,Levitation Charm
35621,Wand-Lighting Charm
35622,Reverse Spell
35622,Launch an object up into the air
35622,Snake-Vanishing Spell
35624,Spider repelling spell
35627,Levicorpus
35630,Blasting Curse
35630,Expulso Curse
35630,Launch an object up into the air
35631,Shrinking Charm
35634,Spider repelling spell
35634,Salvio hexia
35635,Leg-Locker Curse
35640,Levitation Charm
35640,Unlocking Charm
35642,Revulsion Jinx
35642,Sectumsempra
35642,Revelio Charm
35646,Snake-Vanishing Spell
35646,Cruciatus Curse
35646,Lumos Maxima
35648,Muggle-Repelling Charm
35649,Fire-Making Spell
35649,Revelio Charm
35649,Shield Charm
35651,Killing Curse
35653,Killing Curse
35653,Salvio hexia
35653,Wand-Lighting Charm
35654,Slowing Charm
35654,Lumos Maxima
35655,Killing Curse
35655,Unlocking Charm
35657,Mending Charm
35657,Patronus Charm
35657,Snake Summons Spell
35662,Memory Charm
35663,Locking Spell
35663,Vera Verto
35666,Severing Charm
35666,Engorgement Charm
35670,Piertotum Locomotor
35670,Exploding Charm
35672,Dissendium
35672,Protego totalum
35672,Piertotum Locomotor
35673,Memory Charm
35673,Shrinking Charm
35673,Vera Verto
35674,Muffliato Charm
35681,Portus
35681,Muggle-Repelling Charm
35681,Revelio Charm
35682,Piertotum Locomotor
35685,Tickling Charm
35685,Fire-Making Spell
35685,Lumos Maxima
35688,Protego Maxima
35688,Protego totalum
35688,Snake Summons Spell
35691,Shield Charm
35694,Unlocking Charm
35694,Summoning Charm
35694,Patronus Charm
35695,Protego Maxima
35696,Lumos Solem Spell
35696,Lumos Maxima
35696,Imperius Curse
35698,Expulso Curse
35700,Fire-Making Spell
35700,Boggart-Banishing Spell
35702,Protego Maxima
35702,Engorgement Charm
35702,Boggart-Banishing Spell
35705,Mending Charm
35706,Portus
35706,Blasting Curse
35709,Blasting Curse
35711,Vera Verto
35711,Protego Maxima
35711,Fire-Making Spell
35712,Protego Maxima
35712,Wand-Extinguishing Charm
35713,Patronus Charm
35720,Tickling Charm
35720,Mending Charm
35720,Lumos Solem Spell
35722,Snake Summons Spell
35722,Tickling Charm
35722,Peskipiksi Pesternomi
35723,Repello Inimicum
35723,Dissendium
35723,Revulsion Jinx
35724,Wand-Lighting Charm
35724,Piertotum Locomotor
35724,Freezing Charm
35726,Killing Curse
35727,Episkey
35727,Salvio hexia
35727,Oppugno Jinx
35728,Wand-Lighting Charm
35728,Protego Maxima
35729,Shrinking Charm
35731,Lumos Solem Spell
35731,Oculus Reparo
35731,Vera Verto
35732,Lumos Solem Spell
35732,Human Presence Revealing Spell
35733,Repello Inimicum
35733,Lumos Solem Spell
35733,Water-Making Spell
35734,Patronus Charm
35737,Engorgement Charm
35737,Full Body-Bind Curse
35740,Leg-Locker Curse
35742,Shrinking Charm
35742,Salvio hexia
35743,Locking Spell
35743,Water-Making Spell
35743,Shrinking Charm
35745,Salvio hexia
35745,General Counter-Spell
35745,Dissendium
35747,Oculus Reparo
35747,Peskipiksi Pesternomi
35747,Leg-Locker Curse
35751,Expulso Curse
35751,Impediment Jinx
35753,General Counter-Spell
35753,Repello Inimicum
35757,Shrinking Charm
35757,Unlocking Charm
35758,Killing Curse
35762,Locomotion Charm
35762,Snake-Vanishing Spell
35764,Portus
35764,Wand-Lighting Charm
35764,Cruciatus Curse
35768,Severing Charm
35770,General Counter-Spell
35771,Stunning Spell
35771,Snake Summons Spell
35771,Repello Inimicum
35772,Shrinking Charm
35772,Boggart-Banishing Spell
35772,Muffliato Charm
35773,Salvio hexia
35776,Portus
35776,Sectumsempra
35776,General Counter-Spell
35778,Protego totalum
35780,Oculus Reparo
35780,Shield Charm
35788,Lumos Maxima
35788,Exploding Charm
35788,Brackium Emendo
35789,Portus
35789,Spider repelling spell
35789,Locking Spell
35794,Cruciatus Curse
35794,Water-Making Spell
35798,Portus
35799,Cistem Aperio
35800,Shrinking Charm
35801,Tickling Charm
35803,Human Presence Revealing Spell
35807,Brackium Emendo
35808,General Counter-Spell
35811,Piertotum Locomotor
35811,Severing Charm
35811,Tickling Charm
35815,Exploding Charm
35815,Spider repelling spell
35817,Spider repelling spell
35820,Locomotion Charm
35820,Shrinking Charm
35820,Boggart-Banishing Spell
35821,Unlocking Charm
35821,Repello Inimicum
35824,Snake Summons Spell
35828,Exploding Charm
35828,Oppugno Jinx
35832,Peskipiksi Pesternomi
35834,Peskipiksi Pesternomi
35834,Blasting Curse
35835,Impediment Jinx
35835,Snake-Vanishing Spell
35835,Blasting Curse
35845,Incarcerous Spell
35845,Repello Inimicum
35849,Slowing Charm
35854,Engorgement Charm
35854,Revulsion Jinx
35854,Locking Spell
35855,Cruciatus Curse
35855,Impediment Jinx
35855,Vera Verto
35858,Salvio hexia
35859,Memory Charm
35859,Peskipiksi Pesternomi
35860,Peskipiksi Pesternomi
35860,Episkey
35860,Launch an object up into the air
35861,Oculus Reparo
35861,Protego Maxima
35861,Muggle-Repelling Charm
35862,Cruciatus Curse
35867,Snake Summons Spell
35876,Protego totalum
35876,Memory Charm
35876,Muffliato Charm
35877,Levicorpus
35877,Repello Inimicum
35877,Brackium Emendo
35880,Freezing Charm
35880,Lumos Maxima
35880,Cruciatus Curse
35881,General Counter-Spell
35881,Episkey
35882,Imperius Curse
35884,Human Presence Revealing Spell
35884,Killing Curse
35884,Levicorpus
35885,Cruciatus Curse
35885,Snake Summons Spell
35885,Water-Making Spell
35886,Slowing Charm
35888,Peskipiksi Pesternomi
35889,Sectumsempra
35889,Imperius Curse
35891,Killing Curse
35891,Lumos Maxima
35895,Water-Making Spell
35895,Patronus Charm
35895,Mending Charm
35898,Revulsion Jinx
35900,Episkey
35900,Snake-Vanishing Spell
35901,Snake-Vanishing Spell
35901,Unlocking Charm
35901,Piertotum Locomotor
35904,Muffliato Charm
35904,Imperius Curse
35906,Wand-Lighting Charm
35906,Incarcerous Spell
35906,Impediment Jinx
35907,Vera Verto
35907,Exploding Charm
35907,Salvio hexia
35908,Killing Curse
35911,Levicorpus
35911,Fire-Making Spell
35911,Protego totalum
35913,Locomotion Charm
35913,Sectumsempra
35914,Spider repelling spell
35914,Unlocking Charm
35914,Shield Charm
35918,Full Body-Bind Curse
35920,Oppugno Jinx
35920,Exploding Charm
35920,Impediment Jinx
35921,Summoning Charm
35921,Shield Charm
35921,Wand-Extinguishing Charm
35923,Expulso Curse
35923,Summoning Charm
35924,Lumos Solem Spell
35933,Freezing Charm
35933,Piertotum Locomotor
35933,Locomotion Charm
35934,Brackium Emendo
35934,Episkey
35934,Protego Maxima
35936,Snake Summons Spell
35936,Exploding Charm
35936,Spider repelling spell
35937,Salvio hexia
35947,Memory Charm
35949,Freezing Charm
35949,Fire-Making Spell
35951,Locomotion Charm
35951,Launch an object up into the air
35951,Cistem Aperio
35957,Salvio hexia
35957,Slowing Charm
35957,Brackium Emendo
35962,Full Body-Bind Curse
35962,Fire-Making Spell
35965,Freezing Charm
35965,Unlocking Charm
35965,Shrinking Charm
35968,Exploding Charm
35968,Blasting Curse
35969,Locking Spell
35969,Protego Maxima
35969,Revelio Charm
35976,Freezing Charm
35976,Cistem Aperio
35976,Shield Charm
35980,Sectumsempra
35982,Oppugno Jinx
35982,Lumos Solem Spell
35982,Vera Verto
35983,Cruciatus Curse
35992,Water-Making Spell
35992,Muggle-Repelling Charm
36001,Exploding Charm
36001,Lumos Solem Spell
36003,Unlocking Charm
36005,Patronus Charm
36005,Impediment Jinx
36008,Snake Summons Spell
36008,Wand-Extinguishing Charm
36008,Protego totalum
36009,Severing Charm
36009,Disarming Charm
36009,Dissendium
36010,Wand-Lighting Charm
36010,Brackium Emendo
36010,Protego totalum
36014,Levicorpus
36015,Revelio Charm
36015,Peskipiksi Pesternomi
36015,Blasting Curse
36020,Sectumsempra
36020,Engorgement Charm
36021,Shield Charm
36024,Killing Curse
36024,Summoning Charm
36024,Cistem Aperio
36027,Disarming Charm
36028,Muggle-Repelling Charm
36028,Repello Inimicum
36028,Unlocking Charm
36032,Launch an object up into the air
36032,Wand-Lighting Charm
36032,Water-Making Spell
36033,Protego totalum
36033,Imperius Curse
36035,Freezing Charm
36039,Peskipiksi Pesternomi
36039,Boggart-Banishing Spell
36044,Shrinking Charm
36044,Shield Charm
36046,Levitation Charm
36046,Full Body-Bind Curse
36046,Boggart-Banishing Spell
36048,Spider repelling spell
36052,Revelio Charm
36054,Locking Spell
36054,Dissendium
36055,Oppugno Jinx
36057,Expulso Curse
36058,Muffliato Charm
36058,Repello Inimicum
36058,Engorgement Charm
36060,Wand-Lighting Charm
36060,Brackium Emendo
36063,Exploding Charm
36064,Brackium Emendo
36064,Protego Maxima
36065,Stunning Spell
36065,Protego totalum
36065,Portus
36067,Freezing Charm
36067,General Counter-Spell
36067,Killing Curse
36073,Human Presence Revealing Spell
36075,Engorgement Charm
36077,Boggart-Banishing Spell
36077,Muffliato Charm
36077,Water-Making Spell
36079,Spider repelling spell
36079,Patronus Charm
36079,Snake-Vanishing Spell
36081,Episkey
36081,Snake Summons Spell
36082,Levicorpus
36082,Imperius Curse
36082,Blasting Curse
36083,Snake-Vanishing Spell
36083,Full Body-Bind Curse
36087,Severing Charm
36088,Brackium Emendo
36096,Impediment Jinx
36096,Full Body-Bind Curse
36097,Muffliato Charm
36097,Full Body-Bind Curse
36097,Brackium Emendo
36100,Protego totalum
36100,Levitation Charm
36100,Locking Spell
36103,Engorgement Charm
36103,Repello Inimicum
36103,Leg-Locker Curse
36105,Salvio hexia
36106,Spider repelling spell
36106,Locking Spell
36107,Summoning Charm
36108,Fire-Making Spell
36110,Stunning Spell
36112,Peskipiksi Pesternomi
36112,Levitation Charm
36113,Slowing Charm
36114,Incarcerous Spell
36114,Slowing Charm
36114,Cruciatus Curse
36119,Repello Inimicum
36119,Wand-Lighting Charm
36122,Piertotum Locomotor
36123,Revelio Charm
36123,Piertotum Locomotor
36124,Severing Charm
36124,Brackium Emendo
36129,Muffliato Charm
36129,Memory Charm
36129,Boggart-Banishing Spell
36130,Muggle-Repelling Charm
36130,Lumos Maxima
36130,Wand-Extinguishing Charm
36131,Impediment Jinx
36131,Expulso Curse
36135,Brackium Emendo
36135,Reverse Spell
36135,Patronus Charm
36139,General Counter-Spell
36139,Piertotum Locomotor
36139,Spider repelling spell
36140,Protego Maxima
36140,Blasting Curse
36141,Snake Summons Spell
36141,Shrinking Charm
36144,Vera Verto
36144,Severing Charm
36150,Cistem Aperio
36151,Killing Curse
36151,Disarming Charm
36153,Slowing Charm
36153,Shield Charm
36154,Shrinking Charm
36154,Incarcerous Spell
36154,Freezing Charm
36155,Freezing Charm
36155,Locomotion Charm
36156,Expulso Curse
36156,Leg-Locker Curse
36156,Salvio hexia
36157,Leg-Locker Curse
36163,Revelio Charm
36164,Unlocking Charm
36164,Reverse Spell
36164,Impediment Jinx
36166,Protego totalum
36168,Freezing Charm
36168,Protego Maxima
36168,Expulso Curse
36169,Piertotum Locomotor
36169,Unlocking Charm
36169,Peskipiksi Pesternomi
36170,Snake-Vanishing Spell
36173,Peskipiksi Pesternomi
36173,Snake Summons Spell
36173,Revelio Charm
36175,Engorgement Charm
36176,Revulsion Jinx
36185,Oppugno Jinx
36185,Human Presence Revealing Spell
36185,Disarming Charm
36186,Imperius Curse
36191,Impediment Jinx
36191,Locking Spell
36193,Revelio Charm
36195,Levicorpus
36195,Spider repelling spell
36195,Oppugno Jinx
36196,Impediment Jinx
36200,Protego Maxima
36202,Engorgement Charm
36202,Lumos Solem Spell
36202,Piertotum Locomotor
36206,Revulsion Jinx
36206,Brackium Emendo
36207,Slowing Charm
36207,Tickling Charm
36207,Launch an object up into the air
36211,Killing Curse
36211,Revelio Charm
36214,Severing Charm
36214,Episkey
36217,Freezing Charm
36217,Killing Curse
36218,Salvio hexia
36218,Boggart-Banishing Spell
36219,Memory Charm
36219,Killing Curse
36220,Boggart-Banishing Spell
36220,Memory Charm
36222,Slowing Charm
36223,Vera Verto
36223,Oppugno Jinx
36223,Cistem Aperio
36224,Launch an object up into the air
36224,Levitation Charm
36224,Blasting Curse
36227,Protego totalum
36227,Blasting Curse
36227,Wand-Extinguishing Charm
36228,Impediment Jinx
36228,Shield Charm
36229,Levicorpus
36229,Slowing Charm
36231,Snake Summons Spell
36231,Reverse Spell
36234,Wand-Extinguishing Charm
36234,Slowing Charm
36234,Unlocking Charm
36235,Protego totalum
36235,Snake-Vanishing Spell
36235,Shrinking Charm
36236,Severing Charm
36237,Shrinking Charm
36237,Dissendium
36237,Vera Verto
36238,Levicorpus
36240,Summoning Charm
36242,Salvio hexia
36242,Memory Charm
36251,Freezing Charm
36251,Lumos Solem Spell
36252,Salvio hexia
36252,Locomotion Charm
36252,Muggle-Repelling Charm
36253,Cruciatus Curse
36254,Memory Charm
36254,Brackium Emendo
36254,Killing Curse
36255,Shield Charm
36255,Engorgement Charm
36255,Oculus Reparo
36257,Episkey
36257,Portus
36259,Muggle-Repelling Charm
36259,Incarcerous Spell
36260,Revulsion Jinx
36260,Sectumsempra
36260,Wand-Extinguishing Charm
36261,Lumos Maxima
36261,Locking Spell
36262,Leg-Locker Curse
36262,Spider repelling spell
36262,Sectumsempra
36263,Cruciatus Curse
36265,Wand-Lighting Charm
36269,Blasting Curse
36269,Cruciatus Curse
36271,Expulso Curse
36271,Protego Maxima
36271,Revulsion Jinx
36275,Wand-Lighting Charm
36283,Boggart-Banishing Spell
36283,Locking Spell
36286,Levitation Charm
36286,Human Presence Revealing Spell
36287,Full Body-Bind Curse
36287,Disarming Charm
36287,Snake Summons Spell
36292,Wand-Extinguishing Charm
36292,Shield Charm
36292,Peskipiksi Pesternomi
36293,Lumos Solem Spell
36293,Full Body-Bind Curse
36293,Freezing Charm
36295,Slowing Charm
36296,Dissendium
36296,Leg-Locker Curse
36298,Snake Summons Spell
36300,Snake Summons Spell
36300,Muffliato Charm
36300,Revulsion Jinx
36301,Freezing Charm
36301,Engorgement Charm
36304,Imperius Curse
36304,Freezing Charm
36304,Revelio Charm
36307,Impediment Jinx
36307,Freezing Charm
36307,Levitation Charm
36309,Dissendium
36309,Tickling Charm
36309,Shield Charm
36310,Brackium Emendo
36310,Episkey
36310,Vera Verto
36311,Fire-Making Spell
36311,Muggle-Repelling Charm
36311,Snake-Vanishing Spell
36314,Portus
36314,Spider repelling spell
36318,Revelio Charm
36318,Killing Curse
36318,Slowing Charm
36321,Severing Charm
36321,Boggart-Banishing Spell
36322,Unlocking Charm
36324,Summoning Charm
36324,Engorgement Charm
36324,Muggle-Repelling Charm
36326,Killing Curse
36328,Revelio Charm
36328,Wand-Extinguishing Charm
36328,Full Body-Bind Curse
36334,Oculus Reparo
36335,Imperius Curse
36336,Revelio Charm
36344,Oculus Reparo
36345,Impediment Jinx
36346,Wand-Lighting Charm
36346,Spider repelling spell
36346,Oculus Reparo
36348,Muggle-Repelling Charm
36348,Leg-Locker Curse
36348,Imperius Curse
36351,Revelio Charm
36351,Impediment Jinx
36353,Water-Making Spell
36353,Protego totalum
36355,Boggart-Banishing Spell
36355,Freezing Charm
36356,Salvio hexia
36356,Human Presence Revealing Spell
36356,Vera Verto
36359,Shield Charm
36359,Revulsion Jinx
36360,Memory Charm
36360,Expulso Curse
36363,Muggle-Repelling Charm
36365,Launch an object up into the air
36368,Shield Charm
36369,Stunning Spell
36369,Revelio Charm
36371,Salvio hexia
36371,Oppugno Jinx
36371,Summoning Charm
36373,Locking Spell
36374,Reverse Spell
36376,Expulso Curse
36376,Water-Making Spell
36380,General Counter-Spell
36380,Brackium Emendo
36380,Revelio Charm
36381,Levitation Charm
36381,Full Body-Bind Curse
36382,Wand-Lighting Charm
36383,Memory Charm
36383,Shield Charm
36383,Brackium Emendo
36384,Locomotion Charm
36387,Boggart-Banishing Spell
36387,Episkey
36387,Patronus Charm
36388,Memory Charm
36390,Exploding Charm
36390,Oppugno Jinx
36391,Stunning Spell
36391,Wand-Extinguishing Charm
36395,Summoning Charm
36395,Lumos Maxima
36395,Vera Verto
36397,Muggle-Repelling Charm
36401,Protego totalum
36401,Wand-Extinguishing Charm
36405,Mending Charm
36406,Full Body-Bind Curse
36406,Peskipiksi Pesternomi
36406,Brackium Emendo
36410,Locomotion Charm
36410,Revulsion Jinx
36410,Levitation Charm
36411,Oculus Reparo
36411,Disarming Charm
36412,Portus
36412,Revulsion Jinx
36412,Patronus Charm
36415,Imperius Curse
36415,Memory Charm
36415,Engorgement Charm
36421,General Counter-Spell
36422,Patronus Charm
36423,Piertotum Locomotor
36429,Full Body-Bind Curse
36429,Vera Verto
36429,Leg-Locker Curse
36431,Reverse Spell
36431,Salvio hexia
36433,Brackium Emendo
36433,Mending Charm
36433,Slowing Charm
36434,Vera Verto
36434,Reverse Spell
36435,Repello Inimicum
36435,Stunning Spell
36435,Patronus Charm
36438,Portus
36440,Disarming Charm
36440,Slowing Charm
36440,Shield Charm
36442,Patronus Charm
36443,Tickling Charm
36455,Patronus Charm
36455,Protego totalum
36455,Impediment Jinx
36458,Unlocking Charm
36458,Engorgement Charm
36458,Locking Spell
36463,Dissendium
36463,Killing Curse
36465,Exploding Charm
36467,Spider repelling spell
36467,Lumos Solem Spell
36471,Water-Making Spell
36475,Boggart-Banishing Spell
36475,Sectumsempra
36475,Slowing Charm
36477,Oppugno Jinx
36477,Sectumsempra
36477,Piertotum Locomotor
36481,Boggart-Banishing Spell
36481,Peskipiksi Pesternomi
36482,Full Body-Bind Curse
36483,Brackium Emendo
36483,Reverse Spell
36483,Spider repelling spell
36486,Protego totalum
36488,Lumos Solem Spell
36488,Snake Summons Spell
36490,Summoning Charm
36490,Water-Making Spell
36493,Incarcerous Spell
36493,Protego Maxima
36494,Locomotion Charm
36494,Reverse Spell
36496,Salvio hexia
36496,Memory Charm
36496,Reverse Spell
36497,Disarming Charm
36497,Launch an object up into the air
36497,Full Body-Bind Curse
36498,Boggart-Banishing Spell
36498,Episkey
36501,Oculus Reparo
36501,Leg-Locker Curse
36502,Unlocking Charm
36504,Snake Summons Spell
36504,Snake-Vanishing Spell
36504,Launch an object up into the air
36507,Leg-Locker Curse
36512,Impediment Jinx
36512,Piertotum Locomotor
36512,Oculus Reparo
36514,Impediment Jinx
36517,Engorgement Charm
36517,Wand-Lighting Charm
36517,Muggle-Repelling Charm
36522,Killing Curse
36522,Cruciatus Curse
36522,Shrinking Charm
36524,Piertotum Locomotor
36524,Tickling Charm
36524,Sectumsempra
36528,Wand-Extinguishing Charm
36528,Snake Summons Spell
36528,Expulso Curse
36533,Spider repelling spell
36535,Summoning Charm
36535,Slowing Charm
36535,Cistem Aperio
36540,Protego totalum
36540,Shield Charm
36540,Impediment Jinx
36541,Summoning Charm
36541,Levitation Charm
36542,Protego Maxima
36543,Wand-Lighting Charm
36543,Piertotum Locomotor
36545,Shield Charm
36545,Piertotum Locomotor
36545,Imperius Curse
36547,Exploding Charm
36548,Portus
36549,Snake Summons Spell
36550,Imperius Curse
36552,Cistem Aperio
36552,Levitation Charm
36555,Muffliato Charm
36555,Spider repelling spell
36555,General Counter-Spell
36556,Revelio Charm
36559,Blasting Curse
36564,Cruciatus Curse
36564,Spider repelling spell
36565,Levitation Charm
36565,Salvio hexia
36567,Portus
36567,Exploding Charm
36567,Protego totalum
36569,Wand-Extinguishing Charm
36569,Memory Charm
36572,Blasting Curse
36572,Shrinking Charm
36572,Lumos Maxima
36574,Muffliato Charm
36574,Dissendium
36576,Brackium Emendo
36576,Piertotum Locomotor
36576,Dissendium
36583,Mending Charm
36585,Imperius Curse
36585,Locking Spell
36593,Locking Spell
36595,Impediment Jinx
36595,Expulso Curse
36596,Severing Charm
36596,Revulsion Jinx
36596,Muggle-Repelling Charm
36597,Engorgement Charm
36597,Freezing Charm
36597,Locking Spell
36600,Oppugno Jinx
36600,Imperius Curse
36600,Levicorpus
36607,Episkey
36610,Disarming Charm
36610,Wand-Extinguishing Charm
36612,Exploding Charm
36618,Incarcerous Spell
36619,Sectumsempra
36619,Exploding Charm
36619,Brackium Emendo
36622,Locomotion Charm
36627,Water-Making Spell
36629,Snake-Vanishing Spell
36629,Lumos Maxima
36629,Tickling Charm
36630,Muggle-Repelling Charm
36630,Impediment Jinx
36630,Revelio Charm
36632,Incarcerous Spell
36632,Water-Making Spell
36633,Locomotion Charm
36634,Protego totalum
36634,Memory Charm
36634,Shrinking Charm
36635,Episkey
36635,Oppugno Jinx
36635,Memory Charm
36641,Piertotum Locomotor
36641,Incarcerous Spell
36643,Slowing Charm
36643,Imperius Curse
36650,Boggart-Banishing Spell
36650,Fire-Making Spell
36650,Protego Maxima
36654,Snake-Vanishing Spell
36657,Wand-Extinguishing Charm
36657,Fire-Making Spell
36657,Engorgement Charm
